"FOLIO","VIV_SEL","HOGAR","N_REN","PAREN","SEXO","EDAD","P4_5","P4_6","NIVEL","GRADO","P4_8","P4_9","P4_10_1","P4_10_2","P4_10_3","ALFABETISMO","ENT","TLOC","FAC_HOG","EST_DIS","UPM_DIS"
"00001","01","1","01","1","1","65","2","","02","2","1","5","20","06","","1","01","1",358,"002","0000001"
"00001","01","1","02","2","2","63","2","","02","6","1","5","31","05","","1","01","1",358,"002","0000001"
"00001","01","1","03","3","1","32","2","","06","3","","6","14","10","","1","01","1",358,"002","0000001"
"00001","01","1","04","3","1","27","2","","08","5","","6","05","08","1","1","01","1",358,"002","0000001"
"00002","02","1","01","1","2","81","2","","00","0","2","4","19","11","","2","01","1",358,"002","0000001"
"00002","02","1","02","3","2","54","2","","02","6","1","6","14","10","1","1","01","1",358,"002","0000001"
"00003","05","1","01","1","2","34","2","","08","4","","6","20","06","1","1","01","1",358,"002","0000001"
"00003","05","1","02","3","1","05","2","","01","1","9","","","","","9","01","1",358,"002","0000001"
"00004","01","1","01","1","2","47","2","","08","5","","6","31","01","","1","01","1",333,"002","0000002"
"00004","01","1","02","6","2","78","2","","02","6","1","4","05","02","1","1","01","1",333,"002","0000002"
"00005","03","1","01","1","1","57","2","","08","5","","5","31","10","","1","01","1",333,"002","0000002"
"00005","03","1","02","2","2","51","2","","06","2","","5","18","03","","1","01","1",333,"002","0000002"
"00005","03","1","03","3","2","25","2","","06","3","","6","25","06","1","1","01","1",333,"002","0000002"
"00005","03","1","04","4","2","08","2","","02","2","1","","","","","1","01","1",333,"002","0000002"
"00006","04","1","01","1","2","64","2","","02","6","1","4","24","09","1","1","01","1",333,"002","0000002"
"00006","04","1","02","3","1","34","2","","03","3","","6","09","02","","1","01","1",333,"002","0000002"
"00007","05","1","01","1","1","55","2","","06","3","","3","06","08","","1","01","1",333,"002","0000002"
"00007","05","1","02","7","1","28","2","","06","1","","6","28","04","","1","01","1",333,"002","0000002"
"00007","05","1","03","7","1","21","2","","08","1","","6","03","05","1","1","01","1",333,"002","0000002"
"00008","01","1","01","1","2","40","2","","08","4","","1","01","05","","1","01","1",445,"003","0000003"
"00008","01","1","02","2","1","41","2","","07","2","","1","31","08","1","1","01","1",445,"003","0000003"
"00008","01","1","04","3","2","15","2","","03","3","","6","","","","1","01","1",445,"003","0000003"
"00008","01","1","03","3","2","16","2","","06","2","","6","","","","1","01","1",445,"003","0000003"
"00008","01","1","05","3","1","02","","","","","","","","","","","01","1",445,"003","0000003"
"00009","02","1","01","1","2","42","2","","08","5","","6","09","06","","1","01","1",445,"003","0000003"
"00009","02","1","02","7","2","36","2","","08","5","","3","19","06","1","1","01","1",445,"003","0000003"
"00010","03","1","01","1","1","75","2","","08","5","","5","08","03","","1","01","1",445,"003","0000003"
"00010","03","1","02","2","2","70","2","","05","3","","5","18","01","","1","01","1",445,"003","0000003"
"00010","03","1","03","3","2","32","2","","08","5","","6","20","02","1","1","01","1",445,"003","0000003"
"00011","04","1","01","1","1","63","2","","03","3","","5","13","09","","1","01","1",445,"003","0000003"
"00011","04","1","02","2","2","62","2","","03","3","","5","24","12","1","1","01","1",445,"003","0000003"
"00012","05","1","01","1","1","78","2","","02","6","1","4","26","04","1","1","01","1",445,"003","0000003"
"00013","01","1","01","1","1","72","2","","02","2","2","4","06","11","","2","01","1",318,"001","0000004"
"00013","01","1","05","3","2","32","2","","02","6","1","6","07","05","","1","01","1",318,"001","0000004"
"00013","01","1","03","3","1","34","2","","02","2","9","2","01","06","","9","01","1",318,"001","0000004"
"00013","01","1","04","3","1","35","2","","02","1","9","2","04","05","","9","01","1",318,"001","0000004"
"00013","01","1","02","3","1","27","2","","02","3","1","6","08","08","1","1","01","1",318,"001","0000004"
"00013","01","1","07","4","1","01","","","","","","","","","","","01","1",318,"001","0000004"
"00013","01","1","06","4","1","09","2","","02","2","1","","","","","1","01","1",318,"001","0000004"
"00014","02","1","01","1","1","79","2","","08","5","","5","27","09","","1","01","1",318,"001","0000004"
"00014","02","1","02","2","2","76","2","","03","3","","5","14","01","1","1","01","1",318,"001","0000004"
"00015","04","1","01","1","1","27","2","","03","3","","1","08","10","1","1","01","1",318,"001","0000004"
"00015","04","1","02","2","2","31","2","","03","3","","1","28","01","","1","01","1",318,"001","0000004"
"00015","04","1","04","3","2","06","2","","01","3","9","","","","","9","01","1",318,"001","0000004"
"00015","04","1","05","3","1","06","2","","01","3","9","","","","","9","01","1",318,"001","0000004"
"00015","04","1","03","3","2","08","2","","02","2","1","","","","","1","01","1",318,"001","0000004"
"00016","05","1","01","1","1","88","2","","00","0","1","5","24","05","1","1","01","1",318,"001","0000004"
"00016","05","1","02","2","2","78","2","","00","0","1","5","08","06","","1","01","1",318,"001","0000004"
"00016","05","1","03","3","2","45","2","","00","0","9","6","05","04","","9","01","1",318,"001","0000004"
"00016","05","1","04","3","2","42","2","","03","3","","6","28","09","","1","01","1",318,"001","0000004"
"00016","05","1","08","3","1","42","2","","03","3","","6","28","08","","1","01","1",318,"001","0000004"
"00016","05","1","05","4","1","07","2","","02","1","1","","","","","1","01","1",318,"001","0000004"
"00016","05","1","07","4","2","06","2","","01","3","1","","","","","1","01","1",318,"001","0000004"
"00016","05","1","06","4","2","09","2","","02","3","1","","","","","1","01","1",318,"001","0000004"
"00017","01","1","01","1","2","30","2","","03","3","","2","20","08","1","1","01","1",349,"001","0000005"
"00017","01","1","04","3","2","02","","","","","","","","","","","01","1",349,"001","0000005"
"00017","01","1","03","3","1","06","2","","01","3","9","","","","","9","01","1",349,"001","0000005"
"00017","01","1","02","3","1","13","2","","02","6","1","6","","","","1","01","1",349,"001","0000005"
"00018","02","1","01","1","1","49","2","","08","5","","5","05","01","","1","01","1",349,"001","0000005"
"00018","02","1","02","2","2","45","2","","08","5","","5","08","08","1","1","01","1",349,"001","0000005"
"00018","02","1","03","3","2","27","2","","08","1","","6","10","10","","1","01","1",349,"001","0000005"
"00019","05","1","01","1","2","50","2","","08","5","","6","25","02","1","1","01","1",349,"001","0000005"
"00019","05","1","02","6","2","76","2","","00","0","9","4","24","01","","9","01","1",349,"001","0000005"
"00019","05","1","03","7","1","20","2","","08","1","","6","20","02","","1","01","1",349,"001","0000005"
"00020","01","1","01","1","1","58","2","","02","6","1","1","05","01","","1","01","1",342,"001","0000006"
"00020","01","1","02","2","2","52","2","","02","2","1","1","08","01","1","1","01","1",342,"001","0000006"
"00020","01","1","03","3","2","26","2","","02","6","1","1","18","01","","1","01","1",342,"001","0000006"
"00020","01","1","06","4","2","05","2","","01","2","2","","","","","2","01","1",342,"001","0000006"
"00020","01","1","07","4","2","04","","","","","","","","","","","01","1",342,"001","0000006"
"00020","01","1","05","4","2","11","2","","02","4","1","","","","","1","01","1",342,"001","0000006"
"00020","01","1","04","7","1","30","2","","00","0","9","1","13","10","","9","01","1",342,"001","0000006"
"00021","02","1","01","1","2","49","2","","02","3","1","3","27","04","1","1","01","1",342,"001","0000006"
"00021","02","1","02","3","2","19","2","","03","3","","6","02","02","","1","01","1",342,"001","0000006"
"00022","04","1","01","1","1","55","2","","02","4","1","5","25","06","","1","01","1",342,"001","0000006"
"00022","04","1","02","2","2","50","2","","02","6","1","5","13","01","","1","01","1",342,"001","0000006"
"00022","04","1","04","3","1","33","2","","03","3","","6","29","12","1","1","01","1",342,"001","0000006"
"00022","04","1","03","7","2","64","2","","00","0","9","6","15","01","","9","01","1",342,"001","0000006"
"00023","05","1","01","1","1","35","2","","03","3","","1","23","11","1","1","01","1",342,"001","0000006"
"00023","05","1","02","2","2","29","2","","06","3","","1","28","09","","1","01","1",342,"001","0000006"
"00023","05","1","03","3","2","07","2","","02","1","2","","","","","2","01","1",342,"001","0000006"
"00024","01","1","01","1","1","71","2","","99","9","1","5","15","08","","1","01","1",356,"002","0000007"
"00024","01","1","02","2","2","67","2","","99","9","1","5","03","12","","1","01","1",356,"002","0000007"
"00024","01","1","03","3","2","47","2","","08","5","","6","09","11","1","1","01","1",356,"002","0000007"
"00024","01","1","04","4","2","17","2","","06","2","","6","","","","1","01","1",356,"002","0000007"
"00024","01","1","05","4","1","11","2","","02","4","1","","","","","1","01","1",356,"002","0000007"
"00024","01","1","06","7","1","01","","","","","","","","","","","01","1",356,"002","0000007"
"00025","03","1","01","1","1","52","2","","04","3","","5","12","10","","1","01","1",356,"002","0000007"
"00025","03","1","02","2","2","50","2","","02","6","1","5","03","05","","1","01","1",356,"002","0000007"
"00025","03","1","03","3","1","19","2","","06","3","","6","26","11","1","1","01","1",356,"002","0000007"
"00025","03","1","04","3","2","09","2","","02","3","1","","","","","1","01","1",356,"002","0000007"
"00026","04","1","01","1","1","77","2","","04","3","","5","04","07","","1","01","1",356,"002","0000007"
"00026","04","1","02","2","2","75","2","","02","4","1","5","05","05","","1","01","1",356,"002","0000007"
"00026","04","1","07","3","1","43","2","","02","3","1","6","16","08","","1","01","1",356,"002","0000007"
"00026","04","1","04","3","2","52","2","","06","3","","6","18","02","","1","01","1",356,"002","0000007"
"00026","04","1","05","3","2","48","2","","04","3","","6","19","08","1","1","01","1",356,"002","0000007"
"00026","04","1","06","3","2","48","2","","04","3","","6","19","08","","1","01","1",356,"002","0000007"
"00026","04","1","03","3","2","53","2","","03","3","","6","25","10","","1","01","1",356,"002","0000007"
"00026","04","1","08","4","2","13","2","","03","1","","6","","","","1","01","1",356,"002","0000007"
"00027","01","1","01","1","2","42","2","","03","3","","2","25","02","","1","01","1",299,"001","0000008"
"00027","01","1","02","3","1","21","2","","03","3","","6","04","07","1","1","01","1",299,"001","0000008"
"00027","01","1","03","4","1","06","2","","01","2","9","","","","","9","01","1",299,"001","0000008"
"00028","03","1","01","1","1","52","2","","02","6","1","5","14","11","1","1","01","1",299,"001","0000008"
"00028","03","1","02","2","2","43","2","","02","6","1","5","02","04","","1","01","1",299,"001","0000008"
"00028","03","1","03","3","2","18","2","","03","3","","6","19","09","","1","01","1",299,"001","0000008"
"00029","04","1","01","1","2","76","2","","04","3","","6","29","01","","1","01","1",299,"001","0000008"
"00029","04","1","02","7","2","78","2","","04","3","","6","26","10","1","1","01","1",299,"001","0000008"
"00029","04","1","03","7","2","16","2","","03","3","","6","","","","1","01","1",299,"001","0000008"
"00030","01","1","01","1","1","77","2","","02","3","1","5","11","02","1","1","01","1",304,"001","0000009"
"00030","01","1","02","2","2","73","2","","02","4","1","5","13","01","","1","01","1",304,"001","0000009"
"00031","03","1","01","1","2","70","2","","02","5","1","4","06","04","1","1","01","1",304,"001","0000009"
"00032","04","1","01","1","1","34","2","","08","5","","5","18","12","","1","01","1",304,"001","0000009"
"00032","04","1","02","2","2","30","9","","08","5","","5","19","09","1","1","01","1",304,"001","0000009"
"00032","04","1","04","3","2","03","","","","","","","","","","","01","1",304,"001","0000009"
"00032","04","1","03","6","1","57","2","","03","3","","3","27","12","","1","01","1",304,"001","0000009"
"00033","05","1","01","1","1","50","2","","03","3","","5","24","06","1","1","01","1",304,"001","0000009"
"00033","05","1","02","2","2","52","2","","07","3","","5","04","09","","1","01","1",304,"001","0000009"
"00033","05","1","03","3","1","17","2","","06","2","","6","","","","1","01","1",304,"001","0000009"
"00034","01","1","01","1","1","47","2","","02","6","1","1","17","08","1","1","01","1",340,"002","0000010"
"00034","01","1","02","2","2","27","2","","03","3","","1","25","11","","1","01","1",340,"002","0000010"
"00034","01","1","03","3","2","00","","","","","","","","","","","01","1",340,"002","0000010"
"00035","02","1","01","1","1","73","2","","06","3","","4","01","02","1","1","01","1",340,"002","0000010"
"00036","03","1","01","1","1","62","2","","08","5","","5","02","10","1","1","01","1",340,"002","0000010"
"00036","03","1","02","2","2","61","2","","04","3","","5","29","03","","1","01","1",340,"002","0000010"
"00036","03","1","03","3","1","31","2","","04","2","","6","25","05","","1","01","1",340,"002","0000010"
"00036","03","1","05","3","1","25","2","","06","2","","6","05","11","","1","01","1",340,"002","0000010"
"00036","03","1","04","3","1","26","2","","03","3","","6","17","05","","1","01","1",340,"002","0000010"
"00037","04","1","01","1","2","65","2","","08","5","","6","15","09","1","1","01","1",340,"002","0000010"
"00038","05","1","01","1","1","63","2","","07","3","","4","28","09","","1","01","1",340,"002","0000010"
"00038","05","1","02","3","2","35","2","","08","5","","6","29","08","","1","01","1",340,"002","0000010"
"00038","05","1","05","4","2","15","2","","03","3","","6","","","","1","01","1",340,"002","0000010"
"00038","05","1","03","4","2","19","2","","06","3","","6","07","09","","1","01","1",340,"002","0000010"
"00038","05","1","04","4","2","17","2","","03","3","","6","","","","1","01","1",340,"002","0000010"
"00038","05","1","06","4","1","05","2","","01","2","9","","","","","9","01","1",340,"002","0000010"
"00038","05","1","07","7","1","41","2","","08","3","","6","30","12","1","1","01","1",340,"002","0000010"
"00039","01","1","01","1","2","71","2","","00","0","2","6","25","12","","2","01","1",305,"002","0000011"
"00039","01","1","03","7","1","72","2","","02","6","1","5","14","02","","1","01","1",305,"002","0000011"
"00039","01","1","04","7","1","65","2","","02","6","1","6","02","12","1","1","01","1",305,"002","0000011"
"00039","01","1","02","7","1","68","2","","02","6","1","1","15","03","","1","01","1",305,"002","0000011"
"00040","02","1","01","1","1","74","2","","02","6","1","5","13","08","1","1","01","1",305,"002","0000011"
"00040","02","1","02","2","2","75","2","","02","6","1","5","28","08","","1","01","1",305,"002","0000011"
"00040","02","1","03","3","1","41","2","","08","5","","6","01","02","","1","01","1",305,"002","0000011"
"00040","02","1","04","3","1","36","2","","08","2","","6","03","01","","1","01","1",305,"002","0000011"
"00041","03","1","01","1","1","46","2","","03","3","","5","22","08","1","1","01","1",305,"002","0000011"
"00041","03","1","02","2","2","43","2","","04","3","","5","23","05","","1","01","1",305,"002","0000011"
"00041","03","1","03","3","1","18","2","","06","3","","6","17","07","","1","01","1",305,"002","0000011"
"00041","03","1","05","3","1","05","2","","00","0","2","","","","","2","01","1",305,"002","0000011"
"00041","03","1","04","3","1","13","2","","03","1","","6","","","","1","01","1",305,"002","0000011"
"00042","04","1","01","1","2","31","2","","08","4","","2","11","06","1","1","01","1",305,"002","0000011"
"00042","04","1","03","3","2","11","2","","02","5","1","","","","","1","01","1",305,"002","0000011"
"00042","04","1","04","3","2","06","2","","01","3","9","","","","","9","01","1",305,"002","0000011"
"00042","04","1","02","3","2","14","2","","03","3","","6","","","","1","01","1",305,"002","0000011"
"00043","05","1","01","1","1","33","2","","06","3","","6","29","12","","1","01","1",305,"002","0000011"
"00043","05","1","03","6","2","62","2","","02","5","1","4","15","08","1","1","01","1",305,"002","0000011"
"00043","05","1","05","7","1","12","2","","02","4","1","6","","","","1","01","1",305,"002","0000011"
"00043","05","1","04","7","2","14","2","","02","6","1","6","","","","1","01","1",305,"002","0000011"
"00043","05","1","02","7","2","36","2","","03","3","","6","29","05","","1","01","1",305,"002","0000011"
"00044","01","1","01","1","1","28","2","","03","3","","1","22","05","1","1","01","1",288,"002","0000012"
"00044","01","1","02","2","2","23","2","","03","3","","1","22","05","","1","01","1",288,"002","0000012"
"00044","01","1","03","3","1","07","2","","01","3","2","","","","","2","01","1",288,"002","0000012"
"00044","01","1","04","3","1","04","","","","","","","","","","","01","1",288,"002","0000012"
"00045","02","1","01","1","2","18","2","","06","3","","6","04","11","","1","01","1",288,"002","0000012"
"00045","02","1","03","7","1","24","2","","08","5","","6","10","04","1","1","01","1",288,"002","0000012"
"00045","02","1","02","7","1","23","2","","08","5","","6","10","11","","1","01","1",288,"002","0000012"
"00046","04","1","01","1","2","78","2","","02","6","1","6","28","05","","1","01","1",288,"002","0000012"
"00046","04","1","04","3","1","45","2","","08","5","","5","19","05","","1","01","1",288,"002","0000012"
"00046","04","1","03","5","2","40","2","","10","3","","5","20","06","1","1","01","1",288,"002","0000012"
"00046","04","1","02","7","2","78","2","","02","6","1","6","28","05","","1","01","1",288,"002","0000012"
"00047","05","1","01","1","2","25","2","","08","5","","6","27","09","1","1","01","1",288,"002","0000012"
"00048","01","1","01","1","1","56","2","","08","5","","5","03","12","","1","01","1",407,"002","0000013"
"00048","01","1","02","2","2","56","2","","04","3","","5","24","01","1","1","01","1",407,"002","0000013"
"00049","03","1","01","1","1","75","2","","03","3","","4","31","12","","1","01","1",407,"002","0000013"
"00049","03","1","02","3","1","52","2","","06","3","","5","22","07","","1","01","1",407,"002","0000013"
"00049","03","1","04","3","2","43","2","","03","3","","6","07","05","","1","01","1",407,"002","0000013"
"00049","03","1","03","4","1","24","2","","08","5","","6","05","07","1","1","01","1",407,"002","0000013"
"00049","03","1","05","4","2","50","2","","04","3","","5","07","05","","1","01","1",407,"002","0000013"
"00049","03","1","06","4","1","20","2","","08","1","","6","26","03","","1","01","1",407,"002","0000013"
"00050","04","1","01","1","2","40","2","","03","3","","2","15","10","1","1","01","1",407,"002","0000013"
"00050","04","1","03","3","2","17","2","","06","1","","6","","","","1","01","1",407,"002","0000013"
"00050","04","1","02","3","2","21","2","","03","3","","6","06","07","","1","01","1",407,"002","0000013"
"00050","04","1","04","4","1","02","","","","","","","","","","","01","1",407,"002","0000013"
"00051","01","1","01","1","1","72","2","","02","2","2","5","27","01","","2","01","1",343,"002","0000014"
"00051","01","1","02","2","2","67","2","","02","4","1","5","11","08","1","1","01","1",343,"002","0000014"
"00051","01","1","03","3","1","40","2","","06","2","","6","28","06","","1","01","1",343,"002","0000014"
"00052","02","1","01","1","1","36","2","","06","3","","1","03","10","1","1","01","1",343,"002","0000014"
"00052","02","1","02","2","2","34","2","","06","3","","1","03","12","","1","01","1",343,"002","0000014"
"00052","02","1","03","3","2","13","2","","02","6","1","6","","","","1","01","1",343,"002","0000014"
"00052","02","1","04","3","1","09","2","","02","3","1","","","","","1","01","1",343,"002","0000014"
"00053","03","1","01","1","1","56","2","","06","3","","1","22","06","","1","01","1",343,"002","0000014"
"00053","03","1","02","2","2","57","2","","03","3","","1","11","07","","1","01","1",343,"002","0000014"
"00053","03","1","03","3","2","27","2","","08","6","","6","11","12","","1","01","1",343,"002","0000014"
"00053","03","1","04","3","2","19","2","","08","2","","6","03","09","1","1","01","1",343,"002","0000014"
"00054","05","1","01","1","1","53","2","","03","3","","5","25","07","1","1","01","1",343,"002","0000014"
"00054","05","1","02","2","2","51","2","","03","3","","5","07","04","","1","01","1",343,"002","0000014"
"00054","05","1","03","3","2","07","2","","01","3","1","","","","","1","01","1",343,"002","0000014"
"00055","01","1","01","1","1","50","2","","03","3","","5","20","04","1","1","01","1",363,"002","0000015"
"00055","01","1","02","2","2","40","2","","02","6","1","5","13","02","","1","01","1",363,"002","0000015"
"00055","01","1","04","3","2","18","2","","08","1","","6","21","08","","1","01","1",363,"002","0000015"
"00055","01","1","10","3","1","06","2","","01","2","2","","","","","2","01","1",363,"002","0000015"
"00055","01","1","03","3","2","20","2","","06","3","","6","22","02","","1","01","1",363,"002","0000015"
"00055","01","1","07","3","2","13","2","","03","1","","6","","","","1","01","1",363,"002","0000015"
"00055","01","1","08","3","2","11","2","","02","5","1","","","","","1","01","1",363,"002","0000015"
"00055","01","1","05","3","1","16","2","","03","1","","6","","","","1","01","1",363,"002","0000015"
"00055","01","1","06","3","1","15","2","","03","3","","6","","","","1","01","1",363,"002","0000015"
"00055","01","1","09","3","1","09","2","","02","3","1","","","","","1","01","1",363,"002","0000015"
"00056","02","1","01","1","2","69","2","","02","2","1","6","04","01","","1","01","1",363,"002","0000015"
"00056","02","1","02","3","2","36","2","","06","1","","6","26","02","1","1","01","1",363,"002","0000015"
"00057","03","1","01","1","1","42","2","","02","6","1","3","30","05","1","1","01","1",363,"002","0000015"
"00057","03","1","02","3","2","16","2","","03","3","","6","","","","1","01","1",363,"002","0000015"
"00057","03","1","03","3","2","19","2","","06","3","","6","17","04","","1","01","1",363,"002","0000015"
"00057","03","1","04","3","2","07","2","","02","1","1","","","","","1","01","1",363,"002","0000015"
"00058","04","1","01","1","1","88","2","","02","4","1","5","29","03","","1","01","1",363,"002","0000015"
"00058","04","1","02","2","2","85","2","","05","3","","5","14","06","","1","01","1",363,"002","0000015"
"00058","04","1","04","3","2","50","2","","06","3","","6","21","09","","1","01","1",363,"002","0000015"
"00058","04","1","03","3","2","48","2","","04","3","","6","01","09","","1","01","1",363,"002","0000015"
"00058","04","1","05","4","1","30","2","","08","5","","6","18","10","","1","01","1",363,"002","0000015"
"00058","04","1","07","4","1","36","2","","06","3","","2","14","01","","1","01","1",363,"002","0000015"
"00058","04","1","06","4","1","32","2","","08","5","","6","23","07","1","1","01","1",363,"002","0000015"
"00058","04","1","08","7","1","39","2","","08","5","","5","02","12","","1","01","1",363,"002","0000015"
"00059","05","1","01","1","1","49","2","","08","5","","5","07","05","","1","01","1",363,"002","0000015"
"00059","05","1","02","2","2","46","2","","06","3","","5","27","12","1","1","01","1",363,"002","0000015"
"00059","05","1","04","3","1","10","2","","02","3","1","","","","","1","01","1",363,"002","0000015"
"00059","05","1","03","3","1","11","2","","02","4","1","","","","","1","01","1",363,"002","0000015"
"00060","01","1","01","1","2","89","2","","05","3","","4","21","03","1","1","01","1",337,"002","0000016"
"00061","04","1","01","1","2","66","2","","02","6","1","2","18","02","","1","01","1",337,"002","0000016"
"00061","04","1","04","2","1","25","2","","03","3","","6","09","11","1","1","01","1",337,"002","0000016"
"00061","04","1","03","3","1","33","2","","06","3","","3","11","04","","1","01","1",337,"002","0000016"
"00061","04","1","02","3","2","43","2","","07","3","","3","20","05","","1","01","1",337,"002","0000016"
"00061","04","1","05","4","2","15","2","","03","3","","6","","","","1","01","1",337,"002","0000016"
"00062","05","1","01","1","2","81","2","","06","3","","6","10","01","","1","01","1",337,"002","0000016"
"00062","05","1","02","7","2","76","2","","08","5","","4","21","11","1","1","01","1",337,"002","0000016"
"00063","01","1","01","1","1","68","2","","08","5","","4","16","11","1","1","01","1",238,"002","0000017"
"00063","01","1","02","4","2","26","2","","08","5","","6","15","05","","1","01","1",238,"002","0000017"
"00064","02","1","01","1","2","36","2","","06","3","","6","24","01","1","1","01","1",238,"002","0000017"
"00064","02","1","02","6","2","59","2","","03","3","","3","02","05","","1","01","1",238,"002","0000017"
"00064","02","1","03","7","1","25","2","","06","3","","6","20","08","","1","01","1",238,"002","0000017"
"00065","03","1","01","1","1","71","2","","02","6","1","5","04","10","1","1","01","1",238,"002","0000017"
"00066","02","1","01","1","1","65","2","","10","3","","5","10","02","","1","01","1",392,"002","0000018"
"00066","02","1","02","2","2","53","2","","06","3","","5","15","10","1","1","01","1",392,"002","0000018"
"00067","03","1","01","1","1","56","2","","08","5","","4","08","01","","1","01","1",392,"002","0000018"
"00067","03","1","02","3","2","24","2","","08","5","","6","10","08","1","1","01","1",392,"002","0000018"
"00068","04","1","01","1","1","78","2","","02","2","1","6","24","06","1","1","01","1",392,"002","0000018"
"00069","05","1","01","1","2","82","2","","03","3","","4","04","09","1","1","01","1",392,"002","0000018"
"00069","05","1","02","3","2","57","2","","03","3","","6","28","12","","1","01","1",392,"002","0000018"
"00070","01","1","01","1","2","30","2","","08","5","","6","23","08","1","1","01","1",441,"003","0000019"
"00071","03","1","01","1","1","32","2","","08","5","","5","24","07","1","1","01","1",441,"003","0000019"
"00071","03","1","02","2","2","33","2","","08","5","","5","18","10","","1","01","1",441,"003","0000019"
"00071","03","1","03","3","2","08","2","","02","2","1","","","","","1","01","1",441,"003","0000019"
"00071","03","1","04","7","1","24","2","","08","2","","6","05","12","","1","01","1",441,"003","0000019"
"00072","05","1","01","1","2","58","2","","08","5","","3","17","06","1","1","01","1",441,"003","0000019"
"00072","05","1","02","3","1","31","2","","08","5","","6","19","01","","1","01","1",441,"003","0000019"
"00073","01","1","01","1","1","47","2","","08","5","","5","16","11","1","1","01","1",327,"002","0000020"
"00073","01","1","02","2","2","48","2","","08","5","","5","13","09","","1","01","1",327,"002","0000020"
"00073","01","1","04","3","2","13","2","","03","2","","6","","","","1","01","1",327,"002","0000020"
"00073","01","1","03","3","2","18","2","","06","2","","6","28","01","","1","01","1",327,"002","0000020"
"00074","02","1","01","1","1","64","2","","02","6","1","5","02","04","","1","01","1",327,"002","0000020"
"00074","02","1","02","2","2","59","2","","02","6","1","5","02","08","","1","01","1",327,"002","0000020"
"00074","02","1","05","3","1","33","2","","03","3","","6","02","10","","1","01","1",327,"002","0000020"
"00074","02","1","03","3","2","39","2","","02","6","1","6","26","01","1","1","01","1",327,"002","0000020"
"00074","02","1","04","3","2","41","2","","02","6","1","2","12","06","","1","01","1",327,"002","0000020"
"00075","04","1","02","1","2","70","2","","02","6","1","4","19","10","1","1","01","1",327,"002","0000020"
"00075","04","1","03","3","1","36","2","","03","3","","6","09","01","","1","01","1",327,"002","0000020"
"00076","05","1","01","1","2","70","2","","02","6","1","4","07","09","1","1","01","1",327,"002","0000020"
"00076","05","1","02","3","2","40","2","","03","3","","6","09","08","","1","01","1",327,"002","0000020"
"00077","01","1","01","1","2","67","2","","03","3","","6","28","06","","1","01","1",346,"002","0000021"
"00077","01","1","02","3","2","29","2","","06","1","","6","13","07","1","1","01","1",346,"002","0000021"
"00077","01","1","03","3","2","31","2","","08","2","","1","12","06","","1","01","1",346,"002","0000021"
"00078","01","1","01","1","2","92","2","","02","6","1","6","16","06","1","1","01","1",375,"002","0000022"
"00079","02","1","01","1","2","48","2","","08","5","","6","19","10","1","1","01","1",375,"002","0000022"
"00079","02","1","02","6","2","70","2","","02","6","1","4","21","05","","1","01","1",375,"002","0000022"
"00080","03","1","01","1","2","66","2","","02","4","1","4","16","07","1","1","01","1",375,"002","0000022"
"00080","03","1","02","3","1","32","2","","06","3","","6","23","10","","1","01","1",375,"002","0000022"
"00081","02","1","01","1","1","67","2","","02","6","1","5","22","08","1","1","01","1",420,"002","0000023"
"00081","02","1","02","2","2","69","2","","03","3","","5","11","03","","1","01","1",420,"002","0000023"
"00082","03","1","01","1","2","68","2","","03","3","","4","19","11","1","1","01","1",420,"002","0000023"
"00083","05","1","01","1","2","82","2","","06","1","","4","11","10","","1","01","1",420,"002","0000023"
"00083","05","1","04","3","1","59","2","","06","3","","4","16","08","","1","01","1",420,"002","0000023"
"00083","05","1","02","3","1","41","2","","08","5","","6","30","04","1","1","01","1",420,"002","0000023"
"00083","05","1","03","3","1","40","2","","08","5","","3","14","03","","1","01","1",420,"002","0000023"
"00084","01","1","01","1","2","65","2","","10","5","","6","06","06","","1","01","1",392,"002","0000024"
"00084","01","1","04","3","1","24","2","","08","5","","6","18","03","","1","01","1",392,"002","0000024"
"00084","01","1","03","3","1","27","2","","08","5","","6","01","06","","1","01","1",392,"002","0000024"
"00084","01","1","05","3","1","25","2","","08","5","","6","12","04","","1","01","1",392,"002","0000024"
"00084","01","1","06","7","2","28","2","","07","3","","6","26","08","1","1","01","1",392,"002","0000024"
"00084","01","1","02","7","2","53","2","","08","4","","6","02","04","","1","01","1",392,"002","0000024"
"00085","02","1","01","1","1","67","2","","09","1","","5","10","03","","1","01","1",392,"002","0000024"
"00085","02","1","02","2","2","53","2","","06","3","","5","23","04","","1","01","1",392,"002","0000024"
"00085","02","1","04","3","2","34","2","","08","4","","6","26","03","1","1","01","1",392,"002","0000024"
"00085","02","1","03","6","2","86","2","","02","6","1","6","02","08","","1","01","1",392,"002","0000024"
"00086","03","1","01","1","1","69","2","","03","3","","4","19","08","1","1","01","1",392,"002","0000024"
"00087","05","1","01","1","1","72","2","","02","3","1","5","21","09","1","1","01","1",392,"002","0000024"
"00087","05","1","02","2","2","74","2","","02","6","2","5","15","08","","2","01","1",392,"002","0000024"
"00088","01","1","01","1","2","62","2","","03","3","","4","03","03","1","1","01","1",396,"002","0000025"
"00089","02","1","01","1","2","52","2","","03","3","","2","09","10","","1","01","1",396,"002","0000025"
"00089","02","1","05","3","1","07","2","","02","1","1","","","","","1","01","1",396,"002","0000025"
"00089","02","1","04","3","1","22","2","","06","3","","6","08","05","1","1","01","1",396,"002","0000025"
