country,code,continent,population,annual_co2_emissions_per_capita,waste_per_capita_tons_year,gdp_per_capita,income,life_expectancy,child_mortality,health_spending_per_capita
Afghanistan,AFG,Asia,39068933,0.29706287,0.1624111314878749,2769.689006095969,LIC,61.4537,6.1305537,322.4993
Albania,ALB,Europe,2871900,1.640428,0.3809999926423985,14692.921469758696,UMC,77.8241,0.9433166,1044.5686
Algeria,DZA,Africa,44042041,3.8185754,0.30484963177410107,14194.17186213055,UMC,73.2568,2.2933464,706.20135
Andorra,AND,Europe,77343,4.926832,0.5216484089723527,55515.03534902965,HIC,79.4177,0.28564772,4631.5386
Angola,AGO,Africa,33451100,0.49424374,0.1679,7556.975156840881,LMC,63.1164,7.159693,200.1307
Anguilla,AIA,North America,14831,9.6349535,NA,NA,NA,78.6562,0.6356538,NA
Antigua and Barbuda,ATG,North America,91818,6.74395,0.31603583496078613,23922.454932584023,HIC,77.1613,1.0062652,1141.5287
Argentina,ARG,South America,45191917,3.65377,0.41670354298345363,23877.11850121339,HIC,75.8781,1.0258212,2187.3782
Armenia,ARM,Asia,2890849,2.3506444,0.16956734177040966,15420.822707100924,UMC,68.8898,1.1571444,1725
Aruba,ABW,North America,107360,7.6447096,0.8541,28847.65859724292,HIC,75.4061,NA,NA
Australia,AUS,Oceania,25743732,15.506062,0.5609655888701064,56009.25695944162,HIC,83.6639,0.37729746,5955.187
Austria,AUT,Europe,8921362,6.9693084,0.58800001171558125,60901.2215310846,HIC,81.8037,0.34205455,6531
Azerbaijan,AZE,Asia,10181688,3.5586586,0.3036838474254356,18959.723585519416,UMC,70.3116,2.1330414,831
Bahamas,BHS,North America,395827,5.137396,0.6824562219843966,25459.395677909793,HIC,72.9936,1.3301576,2150.3894
Bahrain,BHR,Asia,1483026,25.215979,0.6679500000350835,53421.549674112255,HIC,78.6833,0.7989208,2373.5857
Bangladesh,BGD,Asia,166297978,0.57399553,0.09489999817372775,7015.199868455406,LMC,71.4211,3.1544218,133.91296
Barbados,BRB,North America,281654,4.3926697,0.6230036400440483,15751.498331285904,HIC,76.6465,1.1065013,1083.6543
Belarus,BLR,Europe,9350896,6.3154960000000004,0.4510193036261952,26814.558045025846,UMC,72.269,0.29142,1265
Belgium,BEL,Europe,11540055,7.9053583,0.41500001523851987,58493.275399727296,HIC,80.7977,0.3858776,6119.046
Belize,BLZ,North America,390775,1.4945173,0.2821659234374652,10033.494414944662,UMC,71.5801,1.3171926,431.41638
